Mã số sinh viên,Họ,Tên,Email,Ngày sinh,Quê quán,Điểm Toán,Điểm Văn,Điểm Tiếng Anh
SV0053,Trần,Tiến,tien.tran53@email.com,23/09/2004,Nghệ An,5.5,4.8,3.2
SV0054,Lê,Trang,trang.le54@email.com,28/01/2004,Bình Dương,6.2,5.5,
SV0055,Phạm,Trung,trung.pham55@email.com,02/06/2005,Hà Nội,8.8,0,9.2
SV0056,Hoàng,Tú,tu.hoang56@email.com,07/10/2004,Thanh Hóa,6.2,6.8,0.5
SV0057,Vũ,Tùng,tung.vu57@email.com,12/01/2004,Hưng Yên,4.8,5.2,
SV0058,Đặng,Tuyết,tuyet.dang58@email.com,17/05/2005,TP. Hồ Chí Minh,1.8,1.8,2.8
SV0059,Bùi,Vân,,22/08/2004,Hải Phòng,8.8,,5.8
SV0060,Hồ,Vinh,vinh.ho60@email.com,27/12/2005,Nghệ An,5.5,5.8,2.8
SV0061,Ngô,Vũ,vu.ngo61@email.com,01/04/2004,Cần Thơ,7.5,7.2,4.5
SV0062,Dương,Ánh,anh.duong62@email.com,06/08/2004,Ninh Bình,5.5,6.8,5.
SV0063,Lý,Đạt,,11/12/2005,Hưng Yên,5.5,2.8,4.5
SV0064,Trịnh,Đức,duc.trinh64@email.com,16/03/2004,Bình Dương,4.8,5.5,5.7
SV0065,Đoàn,Hiệp,hiep.doan65@email.com,21/07/2005,Thanh Hóa,6.5,6.8,1.8
SV0066,Vương,Hoài,hoai.vuong66@email.com,26/10/2004,Nghệ An,5.5,,3.8
SV0067,Nguyễn,Hồng,hong.nguyen67@email.com,31/01/2004,Hà Nội,7.0,2.8,7.8
SV0068,Trần,Kiên,kien.tran68@email.com,05/06/2005,Đà Nẵng,7.8,7.5,4.8
SV0069,Lê,Kim,,10/10/2004,Hưng Yên,5.5,6.8,2.8
SV0070,Phạm,Liêm,liem.pham70@email.com,15/01/2005,Ninh Bình,4.2,6.5,4.3
SV0071,Hoàng,Lộc,loc.hoang71@email.com,20/05/2004,Thanh Hóa,6.8,7.5,0.8
SV0072,Vũ,Luân,luan.vu72@email.com,25/08/2005,TP. Hồ Chí Minh,7.5,8.2,8.8
SV0073,Đặng,Mạnh,manh.dang73@email.com,30/12/2004,Nghệ An,6.5,,4.5
SV0074,Bùi,Mỹ,my.bui74@email.com,04/04/2004,Bình Dương,4.8,5.5,2.8
SV0075,Hồ,Ngân,ngan.ho75@email.com,09/08/2005,Hải Phòng,,3.8,3.5
SV0076,Ngô,Nghĩa,,14/11/2004,Hưng Yên,5.8,6.5,3.8
SV0077,Dương,Nhật,nhat.duong77@email.com,19/02/2004,Ninh Bình,6.8,6.5,5.
SV0078,Lý,Phát,phat.ly78@email.com,24/06/2005,Hà Nội,8.2,7.8,8.5
SV0079,Trịnh,Phi,phi.trinh79@email.com,29/09/2004,Bình Dương,5.5,6.2,3.2
SV0080,Đoàn,Sang,sang.doan80@email.com,03/01/2005,Thanh Hóa,4.5,5.8,2.5
SV0081,Vương,Thắng,thang.vuong81@email.com,08/05/2004,Hải Phòng,7.8,9.5,5.8
SV0082,Nguyễn,Thanh,thanh.nguyen82@email.com,13/08/2005,Hà Nội,6.8,,7.5
SV0083,Trần,Thiên,thien.tran83@email.com,18/12/2004,TP. Hồ Chí Minh,8.8,8.5,9.5
SV0084,Lê,Thịnh,thinh.le84@email.com,23/03/2004,Hải Phòng,7.5,6.8,4.8
SV0085,Phạm,Thông,,28/07/2005,Đà Nẵng,9.8,,6.8
SV0086,Hoàng,Toàn,toan.hoang86@email.com,02/11/2004,Cần Thơ,6.5,6.8,5.5
SV0087,Vũ,Trí,tri.vu87@email.com,07/02/2004,Nghệ An,5.2,4.8,3.6
SV0088,Đặng,Trúc,truc.dang88@email.com,12/06/2005,TP. Hồ Chí Minh,9.8,9.8,7.8
SV0089,Bùi,Trường,truong.bui89@email.com,17/09/2004,Bình Dương,4.8,5.5,5
SV0090,Hồ,Tú,tu.ho90@email.com,22/01/2005,Thanh Hóa,6.5,6.2,1.8
SV0091,Ngô,Tuyền,,27/04/2004,Hưng Yên,5.8,,3.5
SV0092,Dương,Văn,van.duong92@email.com,02/08/2004,Ninh Bình,4.5,5.8,2.5
SV0093,Lý,Vĩ,vi.ly93@email.com,07/12/2005,Hà Nội,4.8,7.8,8.8
SV0094,Trịnh,Đông,dong.trinh94@email.com,12/03/2004,Hải Phòng,7.8,9.5,5.4
SV0095,Đoàn,Hạ,ha.doan95@email.com,17/07/2005,Đà Nẵng,8.8,8.5,6.2
SV0096,Vương,Khải,khai.vuong96@email.com,22/10/2004,Cần Thơ,6.8,6.5,0
SV0097,Nguyễn,Lợi,loi.nguyen97@email.com,27/01/2004,Hưng Yên,2.5,4.8,2.8
SV0098,Trần,Nguyên,nguyen.tran98@email.com,03/06/2005,Hà Nội,7.8,7.8,8.5
SV0099,Lê,Phú,phu.le99@email.com,08/09/2004,TP. Hồ Chí Minh,9.8,,8.8
SV0100,Phạm,Tân,tan.pham100@email.com,13/01/2005,Đà Nẵng,8.8,6.5,6.5
