student_code,first_name,last_name,email,date_of_birth,hometown,math_score,literature_score,english_score
SV20250036,Thị,Phương Huỳnh,phuonghuynhthi700@edu.vn,2001-07-25,,2.13,0.99,
SV20250037,Anh,Hải Lê,haileanh788@edu.vn,2007-11-16,Đà Nẵng,7.85,6.67,8.36
SV20250038,Gia,Trang Phan,trangphangia247@edu.vn,2001-01-23,Hà Nội,,,4.9
SV20250039,nan,nan,,2001-01-19,Quảng Ninh,8.52,2.93,1.31
SV20250040,Anh,Trang Hoàng,tranghoanganh794@edu.vn,2007-06-23,Lào Cai,3.85,,8.68
SV20250041,Hữu,Linh Vũ,linhvuhuu821@edu.vn,,Quảng Ninh,8.88,,
SV20250042,Ngọc,Phương Đặng,phuongdangngoc290@edu.vn,2001-02-16,Lào Cai,3.5,3.08,8.72
SV20250043,Văn,Nam Trần,,2000-02-13,Cần Thơ,0.63,,3.95
SV20250044,Minh,Linh Vũ,linhvuminh405@edu.vn,2004-02-06,Thái Nguyên,9.34,3.54,4.45
SV20250045,Gia,Lan Nguyễn,lannguyengia669@edu.vn,2007-03-25,Đà Nẵng,,0.5,3.88
SV20250046,Quốc,Nam Đặng,namdangquoc850@edu.vn,2003-12-22,Thái Bình,5.24,7.46,1.92
SV20250047,Hữu,Long Hoàng,longhoanghuu343@edu.vn,2004-01-14,Hà Nội,,7.31,0.02
SV20250048,Quốc,Phương Lê,,2000-07-06,Quảng Ninh,,3.77,1.63
SV20250049,Anh,Nam Huỳnh,namhuynhanh753@edu.vn,,Hồ Chí Minh,4.67,0.27,3.55
SV20250050,nan,nan,,2006-09-07,Thái Nguyên,6.97,7.5,8.56
SV20250051,Quốc,Mai Phạm,maiphamquoc50@edu.vn,2006-03-23,Cần Thơ,1.93,,5.06
SV20250052,Minh,Cường Đặng,cuongdangminh251@edu.vn,2000-07-07,Lào Cai,0.35,3.1,2.07
SV20250053,Văn,Phương Võ,phuongvovan617@edu.vn,2001-03-28,Hồ Chí Minh,1.14,8.06,1.05
SV20250054,Văn,Trang Phan,trangphanvan699@edu.vn,2005-03-20,Thái Nguyên,9.8,,2.28
SV20250055,Anh,Trang Vũ,trangvuanh111@edu.vn,2004-02-19,Hà Nội,,4.39,8.15
SV20250056,Quốc,Nhung Phan,nhungphanquoc913@edu.vn,2000-09-08,Thái Bình,5.84,,
SV20250057,nan,nan,,2000-01-10,Nam Định,6.92,,9.03
SV20250058,Quốc,Huy Đặng,,,Quảng Ninh,5.14,5.06,3.24
SV20250059,Quốc,Mai Đặng,maidangquoc965@edu.vn,2007-08-03,Nam Định,9.46,,3.06
SV20250060,nan,nan,,2000-09-12,Cần Thơ,4.62,5.9,2.39
SV20250061,Minh,Nam Lê,namleminh306@edu.vn,2007-08-24,Hà Nội,0.94,5.62,
SV20250062,Thị,Hà Hoàng,hahoangthi482@edu.vn,,Nam Định,4.86,2.2,
SV20250063,Bảo,Linh Phạm,linhphambao846@edu.vn,2006-07-14,Thái Nguyên,,,2.09
SV20250064,Ngọc,Duy Phan,duyphanngoc429@edu.vn,2001-05-13,Nam Định,,3.83,2.59
SV20250065,Ngọc,Phương Nguyễn,phuongnguyenngoc810@edu.vn,2002-07-04,Cần Thơ,5.96,3.27,6.15
SV20250066,Hữu,Trang Võ,trangvohuu656@edu.vn,2005-01-09,Thái Bình,,5.43,3.76
SV20250067,Hữu,Long Phạm,longphamhuu775@edu.vn,2006-08-19,Quảng Ninh,5.0,7.25,4.83
SV20250070,Hữu,Linh Lê,linhlehuu564@edu.vn,2001-08-10,Đà Nẵng,6.57,,4.02
SV20250071,Văn,Huy Phạm,huyphamvan532@edu.vn,2000-08-25,,2.39,0.01,2.69
SV20250072,Ngọc,Mai Phạm,maiphamngoc449@edu.vn,2001-02-10,Hồ Chí Minh,,,7.16
SV20250073,Quốc,Huy Phạm,huyphamquoc629@edu.vn,2004-07-22,Hà Nội,,6.8,0.01
SV20250074,nan,nan,,2003-09-16,,0.31,8.95,8.11
SV20250075,Đức,Hà Đặng,hadangduc165@edu.vn,2007-02-26,Hà Nội,2.67,,
SV20250076,Bảo,Hải Võ,haivobao507@edu.vn,2004-08-28,Đà Nẵng,,8.98,
SV20250077,Quốc,Duy Nguyễn,duynguyenquoc167@edu.vn,2001-11-12,Hồ Chí Minh,,0.11,9.41
SV20250078,Bảo,Mai Trần,maitranbao799@edu.vn,2004-04-17,Quảng Ninh,1.9,0.12,
SV20250079,Gia,Ngân Trần,ngantrangia910@edu.vn,2000-12-10,Cần Thơ,,9.24,6.38
SV20250080,Minh,Tuấn Vũ,tuanvuminh740@edu.vn,2007-09-21,,,4.27,1.57
SV20250081,Ngọc,Trang Võ,trangvongoc851@edu.vn,2004-10-28,Lào Cai,1.24,9.19,7.25
SV20250082,Thị,Trang Nguyễn,trangnguyenthi578@edu.vn,2003-07-02,Thanh Hóa,3.6,3.64,8.4
SV20250083,Gia,Huy Huỳnh,huyhuynhgia493@edu.vn,2007-05-28,Thanh Hóa,0.22,,6.07
SV20250084,Quốc,Lan Phạm,lanphamquoc284@edu.vn,2006-04-23,Thanh Hóa,,3.07,2.93
SV20250085,Văn,Mai Trần,maitranvan380@edu.vn,2005-08-17,Nam Định,2.76,6.71,8.81
SV20250086,Đức,Hải Nguyễn,hainguyenduc165@edu.vn,2002-02-23,Quảng Ninh,2.51,0.17,
SV20250087,Anh,Trang Lê,trangleanh391@edu.vn,2005-04-19,,8.65,2.78,6.56
SV20250088,Hữu,Nam Trần,namtranhuu877@edu.vn,,Thái Bình,8.06,8.77,1.32
SV20250089,Minh,Duy Võ,duyvominh618@edu.vn,2002-11-14,,6.07,,6.29
SV20250090,Quốc,Nhung Phan,nhungphanquoc973@edu.vn,2002-06-19,Đà Nẵng,2.38,,9.31
SV20250091,Thị,Linh Đặng,linhdangthi551@edu.vn,2004-12-03,Thái Nguyên,4.82,4.62,9.3
SV20250092,Đức,Nhung Trần,,2004-02-27,Thái Nguyên,8.78,4.43,3.17
SV20250093,Bảo,Long Phạm,longphambao217@edu.vn,2001-01-19,Nam Định,2.95,5.48,
SV20250094,Anh,Hà Đặng,hadanganh568@edu.vn,2005-04-07,Thái Bình,,0.74,7.07
SV20250095,Ngọc,Trang Vũ,trangvungoc386@edu.vn,2004-10-13,Thái Nguyên,,,6.69
SV20250096,Gia,Tuấn Phạm,tuanphamgia693@edu.vn,2005-06-16,Hà Nội,6.89,3.38,4.16
SV20250097,Thị,Nhung Lê,nhunglethi207@edu.vn,2000-09-03,Nam Định,8.33,,9.81
SV20250098,Ngọc,Nhung Nguyễn,nhungnguyenngoc802@edu.vn,2003-10-22,Hà Nội,1.66,4.62,8.04
SV20250099,Anh,Duy Hoàng,duyhoanganh110@edu.vn,2007-05-25,Thái Bình,8.71,4.23,8.89
SV20250100,Anh,Hải Hoàng,haihoanganh46@edu.vn,2003-02-19,Hà Nội,4.5,0.02,3.85
