student_code,first_name,last_name,email,date_of_birth,hometown,math_score,literature_score,english_score
SV20250055,Trang,Vũ Anh,trangvuanh111@edu.vn,2-19-2004,Hà Nội,eight,4.39,8.15
SV20250056,Nhung,Phan Quốc,nhungphanquoc913@edu.vn,8-9-2000,Thái Bình,5.84,,eight
SV20250057,,,,10-1-2000,Nam Định,6.92,,9.03
SV20250058,Huy,Đặng Quốc,,not a date,Quảng Ninh,5.14,5.06,3.24
SV20250059,Mai,Đặng Quốc,maidangquoc965@edu.vn,3/8/2007,Nam Định,9.46,NaN,3.06
SV20250060,,,,12-9-2000,Cần Thơ,4.62,5.9,2.39
SV20250061,Nam,Lê Minh,namleminh306@edu.vn,24/8/2007,Hà Nội,0.94,5.62,
SV20250062,Hà,Hoàng Thị,hahoangthi482@edu.vn,not a date,Nam Định,4.86,2.2,-4
SV20250063,Linh,Phạm Bảo,linhphambao846@edu.vn,14-7-2006,Thái Nguyên,-10,-9,2.09
SV20250064,Duy,Phan Ngọc,duyphanngoc429@edu.vn,5-13-2001,Nam Định,,3.83,2.59
SV20250065,Phương,Nguyễn Ngọc,phuongnguyenngoc810@edu.vn,2002-04-07,Cần Thơ,5.96,3.27,6.15
SV20250066,Trang,Võ Hữu,trangvohuu656@edu.vn,9-1-2005,Thái Bình,,5.43,3.76
SV20250067,Long,Phạm Hữu,longphamhuu775@edu.vn,2006-08-19,Quảng Ninh,5.0,7.25,4.83
SV20250068,Lan,Hoàng Minh,lanhoangminh445@edu.vn,2006/5/26,Hồ Chí Minh,,NaN,eight
SV20250069,Trang,Hoàng Thị,tranghoangthi457@edu.vn,2000-03-15,Hà Nội,NaN,-4,-5
SV20250070,Linh,Lê Hữu,linhlehuu564@edu.vn,10-8-2001,Đà Nẵng,6.57,,4.02
SV20250071,Huy,Phạm Văn,huyphamvan532@edu.vn,2000-08-25,,2.39,0.01,2.69
SV20250072,Mai,Phạm Ngọc,maiphamngoc449@edu.vn,2001-10-02,Hồ Chí Minh,,-5,7.16
SV20250073,Huy,Phạm Quốc,huyphamquoc629@edu.vn,22/7/2004,Hà Nội,-10,6.8,0.01
SV20250074,,,,9-16-2003,,0.31,8.95,8.11
SV20250075,Hà,Đặng Đức,hadangduc165@edu.vn,2007-02-26,Hà Nội,2.67,,-2
SV20250076,Hải,Võ Bảo,haivobao507@edu.vn,8-28-2004,Đà Nẵng,,8.98,
SV20250077,Duy,Nguyễn Quốc,duynguyenquoc167@edu.vn,12-11-2001,Hồ Chí Minh,eight,0.11,9.41
SV20250078,Mai,Trần Bảo,maitranbao799@edu.vn,17/4/2004,Quảng Ninh,1.9,0.12,-10
SV20250079,Ngân,Trần Gia,ngantrangia910@edu.vn,10-12-2000,Cần Thơ,NaN,9.24,6.38
SV20250080,Tuấn,Vũ Minh,tuanvuminh740@edu.vn,2007/9/21,,,4.27,1.57
SV20250081,Trang,Võ Ngọc,trangvongoc851@edu.vn,2004/10/28,Lào Cai,1.24,9.19,7.25
SV20250082,Trang,Nguyễn Thị,trangnguyenthi578@edu.vn,2-7-2003,Thanh Hóa,3.6,3.64,8.4
SV20250083,Huy,Huỳnh Gia,huyhuynhgia493@edu.vn,2007/5/28,Thanh Hóa,0.22,-7,6.07
SV20250084,Lan,Phạm Quốc,lanphamquoc284@edu.vn,2006/4/23,Thanh Hóa,-7,3.07,2.93
SV20250085,Mai,Trần Văn,maitranvan380@edu.vn,8-17-2005,Nam Định,2.76,6.71,8.81
SV20250086,Hải,Nguyễn Đức,hainguyenduc165@edu.vn,2002/2/23,Quảng Ninh,2.51,0.17,
SV20250087,Trang,Lê Anh,trangleanh391@edu.vn,2005-04-19,,8.65,2.78,6.56
SV20250088,Nam,Trần Hữu,namtranhuu877@edu.vn,not a date,Thái Bình,8.06,8.77,1.32
SV20250089,Duy,Võ Minh,duyvominh618@edu.vn,2002-11-14,,6.07,-8,6.29
SV20250090,Nhung,Phan Quốc,nhungphanquoc973@edu.vn,19/6/2002,Đà Nẵng,2.38,,9.31
SV20250091,Linh,Đặng Thị,linhdangthi551@edu.vn,3/12/2004,Thái Nguyên,4.82,4.62,9.3
SV20250092,Nhung,Trần Đức,,2-27-2004,Thái Nguyên,8.78,4.43,3.17
SV20250093,Long,Phạm Bảo,longphambao217@edu.vn,2001-01-19,Nam Định,2.95,5.48,NaN
SV20250094,Hà,Đặng Anh,hadanganh568@edu.vn,2005/7/4,Thái Bình,-5,0.74,7.07
SV20250095,Trang,Vũ Ngọc,trangvungoc386@edu.vn,13-10-2004,Thái Nguyên,eight,NaN,6.69
SV20250096,Tuấn,Phạm Gia,tuanphamgia693@edu.vn,16-6-2005,Hà Nội,6.89,3.38,4.16
SV20250097,Nhung,Lê Thị,nhunglethi207@edu.vn,3-9-2000,Nam Định,8.33,NaN,9.81
SV20250098,Nhung,Nguyễn Ngọc,nhungnguyenngoc802@edu.vn,2003/10/22,Hà Nội,1.66,4.62,8.04
SV20250099,Duy,Hoàng Anh,duyhoanganh110@edu.vn,5-25-2007,Thái Bình,8.71,4.23,8.89
SV20250100,Hải,Hoàng Anh,haihoanganh46@edu.vn,2003-02-19,Hà Nội,4.5,0.02,3.85
